"时间范围","镜头编号","类型","内容","响度/混音","进入/退出","备注"
"00:00–00:20","第001集-镜头001–004","BGM","短促电子战斗节奏","对白下约-24 dB；不盖语音","冷开即入；通关时收束","原创或已授权"
"00:00–00:15","第001集-镜头001–003","SFX","危险预警、Boss挥击、倒地、通关","瞬态峰值不高于-8 dB","按动作点切入","不使用真实游戏采样"
"00:20–00:35","第001集-镜头005–007","BGM","低音单拍与留白","约-28 dB","3200金结算后迅速抽空","突出96元反差"
"00:20–00:30","第001集-镜头005–006","SFX","金币落袋、键盘确认、干涩结果音","约-16 dB","逐镜同步","金币音短，不做赌场感"
"00:35–01:30","第001集-镜头008–018","BGM","稀疏暖钢琴单音","对白下约-26 dB","客厅入；眼眶红时降一档","克制，不煽情"
"00:35–01:30","第001集-镜头008–018","环境","深夜室内底噪、远处虫鸣","约-34 dB","全段连续","空间方向保持"
"01:00–01:05","第001集-镜头013","SFX","瓷碗贴桌滑动轻响","约-20 dB","碗开始移动时","不得有悬浮或碰撞重音"
"01:25–01:30","第001集-镜头018","SFX","远处房门轻关","约-22 dB","镜头起点后短促进入","不要摔门；与分镜镜头018一致"
"01:30–01:50","第001集-镜头019–022","BGM","低频关系压力持续音","约-30 dB","消息提示后淡入","不制造恐怖片感"
"01:30–01:35","第001集-镜头019","SFX","手机单次振动与消息提示","约-14 dB","亮屏同步","使用通用原创音"
"01:45–01:50","第001集-镜头022","SFX","手机壳轻微挤压声","约-22 dB","手指收紧同步","短而克制，不做断裂声"
"01:50–02:15","第001集-镜头023–027","BGM","缓慢回归的冷色电子底纹","约-28 dB","坐下时进入","表现回到熟悉世界"
"01:50–02:05","第001集-镜头023–025","SFX","椅子轻响、双击、登录完成、原创主城环境","约-20 dB","逐动作同步","主城环境不可套用真实游戏音效"
"02:15–03:00","第001集-镜头028–036","BGM","神秘金色系统主题：低频脉冲加高音晶体","对白下约-25 dB","系统面板出现即入；结尾硬切","后续系统出现可复用"
"02:15–02:20","第001集-镜头028","SFX","低频启动与金属电子提示","峰值约-10 dB","面板展开同步","作为系统固定声音标识"
"02:45–02:55","第001集-镜头034–035","SFX","克制心跳、光标悬停、清脆点击","心跳约-24 dB；点击约-12 dB","点击后心跳立即停","只强化决定点"
"02:55–03:00","第001集-镜头036","SFX","任务接受确认音","约-10 dB","金光扩散同步","尾音在切黑前收干净"
