"镜头编号","入点","出点","说话人","台词","字幕断行","情绪/表演","声音方向"
"第001集-镜头001","00:00:00.250","00:00:04.500","陈默","左！现在！再晚一秒就团灭！","左！现在！\n再晚一秒就团灭！","紧急但指令清楚","清爽青年音；近讲麦游戏语音质感"
"第001集-镜头002","00:00:05.400","00:00:09.300","陈默","对，就这样，继续输出。","对，就这样，\n继续输出。","紧张解除、耐心","清爽青年音；游戏语音质感"
"第001集-镜头004","00:00:15.300","00:00:19.600","新人","谢谢大佬！没人肯带我这么久。","谢谢大佬！\n没人肯带我这么久。","真诚感激","年轻中性声；轻微游戏语音压缩"
"第001集-镜头005","00:00:20.300","00:00:21.500","陈默","不客气。","不客气。","轻声、习惯性温和","清爽青年音"
"第001集-镜头007","00:00:30.200","00:00:34.500","陈默","九十六块……又是九十六块。","九十六块……\n又是九十六块。","苦涩、自嘲，内心声","更近、更干，少量空间混响"
"第001集-镜头009","00:00:40.500","00:00:44.000","陈母","默默，你还没睡啊。","默默，\n你还没睡啊。","操心、疲惫","和蔼中年女声；现实空间"
"第001集-镜头010","00:00:45.400","00:00:48.500","陈母","你都三十了……","你都三十了……","想劝又怕伤人","同一声线"
"第001集-镜头011","00:00:50.200","00:00:54.400","陈母","你王叔家孩子都当总监了。","你王叔家孩子\n都当总监了。","焦虑、不带炫耀","画外音；同一客厅方位"
"第001集-镜头012","00:00:55.300","00:00:58.700","陈母","你玩了十二年了……","你玩了十二年了……","责备开始转为心疼","同一声线"
"第001集-镜头013","00:01:00.200","00:01:04.300","陈母","真能当饭吃吗？","真能当饭吃吗？","嘴硬、担心","画外音；汤碗轻响后说"
"第001集-镜头014","00:01:05.300","00:01:09.500","陈默","妈，这不是玩。","妈，\n这不是玩。","低声辩解","清爽青年音；现实空间"
"第001集-镜头015","00:01:10.300","00:01:13.600","陈默","是我的第二个世界。","是我的\n第二个世界。","第一次坚定","后半句重读“第二个世界”"
"第001集-镜头016","00:01:15.500","00:01:16.500","陈母","唉……","唉……","无奈、心软","自然叹息，不做哭腔"
"第001集-镜头020","00:01:35.300","00:01:39.400","苏晴","陈默，我妈又催了。","陈默，\n我妈又催了。","疲惫、克制","干练女声；消息画外音"
"第001集-镜头021","00:01:40.300","00:01:42.700","苏晴","我们谈谈吧。","我们谈谈吧。","严肃但非分手宣判","延续同一条消息"
"第001集-镜头027","00:02:10.500","00:02:12.900","陈默","再打一轮日常。","再打一轮日常。","自我维持、轻声","清爽青年音"
"第001集-镜头029","00:02:20.300","00:02:24.300","系统","检测到宿主热爱值满格。","检测到宿主\n热爱值满格。","中性、精准","机械电子音；无性别倾向"
"第001集-镜头030","00:02:25.000","00:02:29.700","系统","累计在线三万一千二百四十七小时。","累计在线\n31247小时。","中性、数字清楚","机械电子音；数字逐字清晰"
"第001集-镜头031","00:02:30.100","00:02:34.700","系统","热爱系统激活。当前比例，一比零点零三。","热爱系统激活。\n当前比例：1:0.03","中性、宣告感","机械电子音；短促起音"
"第001集-镜头032","00:02:35.000","00:02:39.800","系统","守护任务：带一名新手首次通关。奖励比例加零点一。","带一名新手首次通关\n奖励比例 +0.1","任务播报、语速略快","机械电子音；不抢字幕阅读"
"第001集-镜头033","00:02:41.000","00:02:43.600","陈默","这……什么东西？","这……\n什么东西？","震惊、压低声","清爽青年音；贴近镜头"
"第001集-镜头036","00:02:55.500","00:02:57.200","系统","任务已接受。","任务已接受。","简洁确认","机械电子音；尾音干净"
