镜头编号,时长秒,场次,景别,机位,画面,动作,对白或旁白,图片提示词,视频提示词,连续性引用
"第001集-镜头001","5","场次01_写字楼电梯厅","特写","固定低机位","电梯数字向下跳动，冷白灯映在金属门上","数字从18降到17","环境音：电梯运行","9:16，系列统一画风，普通写字楼电梯数字特写，冷白灯，雨夜反光，画面简洁","数字缓慢下降，微弱灯光闪动，镜头固定","场景-001"
"第001集-镜头002","5","场次01_写字楼电梯厅","中近景","眼平轻跟","35岁林默抱纸箱走出电梯，对同事勉强轻松一笑","林默侧身让出电梯口","同事：小林，真不一起吃个散伙饭？","9:16，角色-001林默35岁待锁定，抱普通纸箱走出电梯，现代中国办公楼，克制疲惫但非阴郁","人物向前两步并侧身，镜头轻微后退，纸箱稳定","角色-001_35岁；道具-001；场景-001"
"第001集-镜头003","5","场次01_写字楼电梯厅","近景","固定眼平","林默用玩笑掩饰尴尬，嘴角先扬后停","表情从自嘲笑转为短暂停顿","林默：平台刚把我优化，钱包也顺便优化了。","9:16，同一角色同一办公楼，85mm近景，柔和表情动画，东方男性骨相，冷白环境光","嘴部自然说话，笑意逐渐收住，无夸张摇头","第001集-镜头002；角色-001_35岁"
"第001集-镜头004","5","场次01_写字楼电梯厅","插入特写","固定俯拍","纸箱里的门禁卡、马克杯和旧合影，手机在旁震动","手机连续震动两次","音效：手机震动","9:16，纸箱内少量办公用品与旧合影，手机屏幕留空供后期，写实风格化3D","手机轻微震动两次，其他物品不漂浮","道具-001；道具-002"
"第001集-镜头005","5","场次01_写字楼电梯厅","肩后近景","固定","手机屏幕抽象通知块，林默手指停住","拇指从滑动变为静止","屏幕文字后期：逾期提醒、房租催缴","9:16，肩后手机近景，屏幕仅有抽象通知色块无乱码文字，手部结构自然","手指滑动一次后停住，屏幕不变形","角色-001_35岁；道具-002"
"第001集-镜头006","5","场次01_写字楼电梯厅","特写","固定眼平","林默把门禁卡放进回收盒","手松开门禁卡","无对白","9:16，成年东方男性手把门禁卡放入透明回收盒，办公楼冷白光，构图克制","手指松开，卡片自然落到底部，无悬浮","角色-001_35岁；场景-001"
"第001集-镜头007","5","场次02_雨夜街道","大全景","固定高位","林默抱纸箱走入雨中的普通城市路口，人群匆忙","林默避开积水向前走","环境音：雨声、远处车辆","9:16，中国普通城市雨夜路口，湿地反光，不赛博朋克，35岁林默抱纸箱，人物比例真实","雨水连续落下，人群缓慢交错，主角向前行走，镜头固定","角色-001_35岁；道具-001；场景-002"
"第001集-镜头008","5","场次02_雨夜街道","中近景","侧向跟拍","林默夹着手机躲到屋檐下","他调整纸箱并接听电话","母亲：今年还回来过生日吗？","9:16，雨夜屋檐下，角色-00135岁侧面中近景，电话贴耳，暖色店内光与冷雨光平衡","人物走两步停下，接电话，纸箱保持稳定","角色-001_35岁；场景-002"
"第001集-镜头009","5","场次02_雨夜街道","特写","固定","旧合影被雨点溅到，林默拇指擦过边缘","拇指轻擦照片","林默：回，等我把这点事处理完。","9:16，旧家庭合影边缘与成年男性手指特写，细雨水滴，自然材质","拇指轻轻擦掉一滴水，照片不变形","道具-001"
"第001集-镜头010","5","场次02_雨夜街道","近景","眼平固定","林默挂断电话，抬头时白光从侧面照亮脸","神情由强撑转为惊讶","音效：急刹声骤近","9:16，角色-00135岁近景，东方骨相，同一画风，雨夜侧向车灯白光增强，非血腥","人物缓慢抬头，白光快速增强，雨滴自然","角色-001_35岁；场景-002"
"第001集-镜头011","5","场次02_雨夜街道","抽象转场","固定","白光充满画面后切为纯黑","白场迅速过曝并熄灭","雨声突然中断","画面从雨夜白光过曝到安全黑场，不出现事故身体细节","光线快速扩散，随后自然淡入黑场","第001集-镜头010"
"第001集-镜头012","5","场次03_出租屋卧室","特写","俯拍固定","25岁林默猛地睁眼，清晨自然光落在脸上","眼睛睁开并急促呼吸","环境音：风扇、远处鸟声","9:16，角色-001林默25岁待锁定，头部特写，2016出租屋清晨，自然柔光，与35岁同骨相更年轻","人物猛地睁眼，呼吸急促，镜头固定，无脸部扭曲","角色-001_25岁；场景-003"
"第001集-镜头013","5","场次03_出租屋卧室","中景","固定眼平","林默坐起摸脸和手臂，寻找伤口","双手快速确认身体","林默：我……纸箱呢？","9:16，25岁林默坐在单人床上，老旧整洁出租屋，动作自然，清晨光","人物坐起，依次摸脸和手臂，床单轻动","角色-001_25岁；场景-003"
"第001集-镜头014","5","场次03_出租屋卧室","插入特写","固定俯拍","旧手机显示日期区域，具体数字后期合成","林默手指点亮屏幕","屏幕文字后期：2016-07-01","9:16，2016年常见智能手机外形特写，日期区域留干净空间，不生成乱码文字","手指按键，屏幕亮起，界面稳定","道具-002；场景-003"
"第001集-镜头015","5","场次03_出租屋卧室","近景","85mm固定","林默盯着手机，先笑又迅速警觉","嘴角扬起后眉头收紧","林默：十年前？","9:16，25岁东方男性近景，同一现代国漫电影级3D，清晨自然光，表情细腻","表情从难以置信的笑转为警觉，头部不晃动","角色-001_25岁"
"第001集-镜头016","5","场次03_出租屋卧室","肩后近景","固定","林默快速查看余额、旧聊天和新闻，屏幕内容留后期区","手指连续切换三个页面","无对白，轻微心跳声","9:16，肩后手机操作近景，屏幕用清晰色块占位无乱码，手部自然","拇指切换三次，页面稳定过渡","角色-001_25岁；道具-002"
"第001集-镜头017","5","场次03_出租屋卧室","近景","固定眼平","母亲消息出现后，林默眼圈微红","他用手背快速擦眼角","林默：不是梦。","9:16，25岁林默近景，眼眶轻微湿润但克制，柔和清晨光，东方男性骨相","眼神停顿，手背轻擦眼角，动作克制","角色-001_25岁；道具-002"
"第001集-镜头018","5","场次04_出租屋书桌","俯拍中近景","固定","林默在白纸上快速写未来关键词，具体字后期替换","笔尖快速移动，纸上形成笔迹块","林默旁白：我知道未来十年什么会火。","9:16，木桌俯拍，白纸、黑笔、年轻男性双手，笔迹仅为抽象线条供后期，清晨光","手快速书写，纸张和笔不漂浮","角色-001_25岁；道具-003；场景-003"
"第001集-镜头019","5","场次04_出租屋书桌","插入特写","固定","纸上未来关键词与空白问号区域，具体文字后期","笔尖停在价格栏","林默旁白：哪怕只记住十分之一，也够了。","9:16，白纸笔记特写，若干短笔迹块和明显空白栏，不生成可读文字","笔尖移动后突然停住，手指轻敲桌面","道具-003"
"第001集-镜头020","5","场次04_出租屋书桌","近景","85mm固定","林默努力回忆，眉头紧锁","眼球轻移，最终泄气呼气","林默：哪年？哪个代码来着？","9:16，25岁林默思考近景，同一角色与画风，清晨柔光，表情自然不夸张","眼神左右回忆，眉头微皱，缓慢呼气","角色-001_25岁"
"第001集-镜头021","5","场次04_出租屋书桌","中近景","轻推镜","林默把纸拍平，重新恢复信心","手掌压住纸，身体前倾","林默：细节不重要，方向对了，猪都能飞。","9:16，25岁林默坐在木桌前，手掌压纸，阳光开朗的自信恢复，现代中国出租屋","人物手掌落下后身体前倾，镜头轻微推进","角色-001_25岁；道具-003；场景-003"
"第001集-镜头022","5","场次05_出租屋镜前","半身","镜中正面固定","林默换好干净蓝灰上衣，对镜整理短发","手指整理额前发束","无对白","9:16，镜中25岁林默半身，蓝灰简洁上衣，清爽短黑发，现代国漫电影级3D，清晨中性光","人物整理一次头发，镜像动作物理正确","角色-001_25岁；场景-003"
"第001集-镜头023","5","场次05_出租屋镜前","头肩近景","85mm固定","林默拿起未来清单，眼神明亮，嘴角自然上扬","纸张抬到胸前","林默：上辈子没轮到我，这辈子我先定个小目标。","9:16，25岁林默头肩近景，同一画风和服装，手持白纸下缘，不遮脸，神情阳光","纸张自然抬起，嘴部自然说话，眼神稳定","角色-001_25岁；道具-003"
"第001集-镜头024","6","场次05_出租屋镜前","正脸特写","固定","林默直视镜中自己，后期HUD留在左上安全区","嘴角扬起，轻点一下头","林默：发财。","9:16，角色-001林默25岁正脸特写，85mm，中性清晨光，左上留干净HUD安全区，东方立体骨相，阳光自信","人物只轻点一次头并微笑，镜头稳定，结尾定格1秒","角色-001_25岁；第001集-镜头023"
