"镜头编号","时长秒","场次","景别","机位","画面","动作","对白或旁白","图片提示词","视频提示词","连续性引用"
"第001集-镜头001","5","场次001·新手副本","屏幕近景","固定低机位","原创高幻想副本战斗区，新人角色站在红色危险圈边缘，Boss生命将尽；后期叠加1%血条","新人角色向左闪出危险圈","陈默（语音，急）：“左！现在！再晚一秒就团灭！”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；原创青灰地牢与琥珀符文灯，红色圆形危险区域；角色-配角-001青绿披风远景，角色-游戏-001暗银轻甲背影，岩甲兽Boss居中；临战紧张，不使用现有游戏UI；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；新人角色迅速向左一步闪出红圈，Boss只做一次挥击预备；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-配角-001;角色-游戏-001;场景-003;界面-001"
"第001集-镜头002","5","场次001·陈默卧室","纯脸部特写","固定正面","冷蓝屏光映在陈默黑框眼镜上，他高度专注","陈默紧绷的眉峰放松","陈默（语音）：“对，就这样，继续输出。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001陈默，偏长椭圆脸、黑色略长碎发、哑黑细矩形眼镜；画面从头顶到下巴，不露脖子以下；显示器冷蓝主光、右后暖色轮廓光，眼神专注；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默眉峰轻微放松，嘴唇自然说出短句；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;服装-001;场景-001;第001集-镜头001"
"第001集-镜头003","5","场次001·新手副本","屏幕特写","固定俯视","Boss血量归零，新人安全站在红圈外","岩甲兽Boss倒地","音效：Boss倒地、通关提示音","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；原创岩甲兽Boss在圆形战斗区中央失去力量，新人青绿披风角色在安全区，陈默暗银角色在前景背面；通关瞬间，琥珀灯光，无任何文字UI；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；Boss只做一次沉重倒地，红色危险圈同步淡出；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-配角-001;角色-游戏-001;场景-003;第001集-镜头002"
"第001集-镜头004","5","场次001·副本结算","屏幕中近景","固定平视","两个游戏角色站在落地宝箱旁，新人面对陈默角色","新人角色鞠躬","新人：“谢谢大佬！没人肯带我这么久。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；原创副本终点，宝箱稳定落在石台上；角色-配角-001青绿披风与角色-游戏-001深蓝披风并排，无真实装备造型；构图清楚表现感谢关系；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；新人角色完成一次幅度克制的鞠躬，陈默角色保持站立；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-配角-001;角色-游戏-001;场景-003;第001集-镜头003"
"第001集-镜头005","5","场次001·结算界面","UI极近特写","固定正面","无字原创结算面板占满画面，金币图形从左向右累积；后期叠加“今日收益：3200金”","金币计数动效停在结算位","陈默（轻声）：“不客气。”；音效：金币落袋声","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；原创暗蓝半透明游戏结算面板，金色细边框与抽象金币图形，预留中央安全区供后期叠字；干净UI，不生成数字和文字；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；抽象金币图形快速增加后定格，面板其他元素不动；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","界面-001;场景-003;第001集-镜头004"
"第001集-镜头006","5","场次001·交易换算","屏幕特写","固定正面","原创无字交易计算界面，两个数值占位框形成换算关系；后期叠加“3200金×0.03=96元”","换算结果框亮起","音效：键盘确认声","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；原创交易工具UI，深灰背景、冷白线框、两个清晰空白数值框和等号关系，竖屏易读，预留后期叠字区，不仿照任何真实网站；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；右侧结果框只做一次冷白高亮闪动；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","界面-004;场景-001;第001集-镜头005"
"第001集-镜头007","5","场次001·陈默卧室","纯脸部特写","固定正面","换算界面白光映在镜片上，陈默眼下疲惫，喜色消失","陈默苦笑","陈默（内心）：“九十六块……又是九十六块。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001陈默头顶至下巴大头贴，黑色碎发与哑黑矩形眼镜锁定；冷白屏光，背景深暗，眼下轻微疲惫，克制苦笑；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默嘴角短暂上提成苦笑后停住，眼神下沉；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;服装-001;场景-001;界面-004;第001集-镜头006"
"第001集-镜头008","5","场次002·陈家客厅","中景","固定侧面","暖黄客厅中陈母坐在浅木餐桌旁，陈默从卧室门后出现，热汤在桌上","陈默推开卧室门","无","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；场景-002整洁小客厅，浅木餐桌与白瓷汤碗真实落在桌面；角色-003陈母暖棕开衫坐在桌旁，角色-001陈默灰蓝T恤从门口出现；冷暖光交界，生活化；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默缓慢推开门进入画面，陈母保持坐姿；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;角色-003;服装-001;服装-006;场景-002;道具-001;第001集-镜头007"
"第001集-镜头009","5","场次002·陈家客厅","纯脸部特写","固定正面","陈母疲惫又担忧地看向陈默","陈母轻叹","陈母：“默默，你还没睡啊。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-003陈母，58岁东亚女性，圆润方脸、自然眼角纹、黑灰短卷发；头顶至下巴特写，暖黄家居光，担忧而不凶；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈母胸口轻起伏并轻轻叹气，嘴唇自然说短句；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-003;服装-006;场景-002;第001集-镜头008"
"第001集-镜头010","5","场次002·陈家客厅","纯脸部特写","固定正面","陈母继续看着儿子，眼神从疲惫转为焦虑","陈母眉头收紧","陈母：“你都三十了……”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-003陈母头顶至下巴特写，黑灰短卷发与脸部纹理保持一致；暖光，眉间担忧加深，背景柔焦；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈母眉心缓慢收紧并说出一句话；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-003;服装-006;场景-002;第001集-镜头009"
