"镜头编号","出现时间","屏幕文字","排版","颜色/样式","动画","备注"
"第001集-镜头001","00:00:01.000–00:00:04.700","BOSS 1%","画面顶部细血条右端；不遮挡Boss","暗灰血条；剩余1%用危险红","血条只剩最后一格并轻闪","后期叠加；不使用真实游戏UI"
"第001集-镜头005","00:00:22.000–00:00:24.700","今日收益
3200 金","中央两行；数字更大","白字；3200用金币金；深色半透明底","数字从3100滚至3200","后期叠加，关键帧保持无字"
"第001集-镜头006","00:00:26.000–00:00:29.700","市场比例 1金币 = 0.03元
3200金 = 96.00元","上小下大；等式居中","冷白字；96.00元用低饱和橙","结果框亮起","原创交易UI，不使用真实网站标识"
"第001集-镜头020","00:01:36.000–00:01:39.900","苏晴
陈默，我妈又催了。我们谈谈吧。","联系人小字；单个消息气泡分两行","深色聊天UI；米白气泡","气泡上滑","完整消息只在手机镜头出现；镜头021仅保留画外音"
"第001集-镜头027","00:02:11.000–00:02:14.700","日常任务","右侧任务按钮","米白字；暗蓝按钮","点击反馈","原创UI"
"第001集-镜头028","00:02:17.000–00:02:19.800","热爱值 100%","系统面板顶部","暖金字；细线边框","面板展开后淡入","不得提前显示任务"
"第001集-镜头029","00:02:22.000–00:02:24.900","累计在线
31247 小时","中央两行；数字最大","暖金字；轻微外发光","数字快速滚动后停住","数值必须准确"
"第001集-镜头031","00:02:31.000–00:02:34.900","当前比例
1金币 = 0.03元","面板中央","暖金标题；白色数值","边框亮一次","与第006镜数值一致"
"第001集-镜头032","00:02:35.500–00:02:39.900","守护任务
帮助一名新手完成首次副本通关
奖励：比例 +0.1","标题、正文、奖励三层","暖金标题；白色正文；奖励亮金","任务卡展开","移动端正文不超过两行"
"第001集-镜头034","00:02:47.000–00:02:49.900","接受    拒绝","底部双按钮","接受为暖金；拒绝为暗灰","光标悬停接受","按钮位置需与第035镜一致"
"第001集-镜头035","00:02:50.000–00:02:54.900","接受","按钮中央","暖金粗体","按下回弹","无额外文字"
"第001集-镜头036","00:02:56.000–00:02:59.500","任务已接受
进度 0/1","镜片倒影只保留光形；正文叠在画面安全区","暖金字；黑色细描边","淡入后停住","结尾切黑前至少停留1秒"
